Getting repos in ODI org...
there are this many repos: 335
theodi/ODI,"Defining the ODI itself",2013-05-17 14:56:24 UTC,2018-05-14 17:53:52 UTC
theodi/immersion-programme,"Information about the ODI Immersion Programme",2013-05-23 18:30:48 UTC,2013-10-11 18:16:21 UTC
theodi/data_kitten,"Get dataset metadata in a consistent format - no matter what you throw at it",2013-05-28 12:36:28 UTC,2017-04-20 15:10:03 UTC
theodi/council-data,"Finding out more about council data sections",2013-06-04 11:21:59 UTC,2013-10-12 09:43:29 UTC
theodi/chef-hoppler,"Cookbook to manage the [hoppler](https://github.com/theodi/hoppler) database backup tool",2013-06-07 10:44:41 UTC,2014-05-01 04:55:05 UTC
theodi/data-ecosystem-simulation,"Simulation of the impact of choosing different licensing schemes on innovation and data flows",2013-06-09 15:49:46 UTC,2013-10-09 07:44:21 UTC
theodi/banquo,"A set of scripts that, combined with the power of phantom.js, casper.js and a little bit of data-kitten, automagically creates ODI Open Data Certificates to Raw level for datasets that are hosted in CKAN repositories. Currently only tested for data.gov.uk.",2013-06-20 11:14:03 UTC,2013-10-22 07:56:49 UTC
theodi/odi-logstash,"Logstash, we love it",2013-06-21 15:48:11 UTC,2014-06-20 01:12:40 UTC
theodi/p2p,"Website for results of peer to peer lending research",2013-06-26 10:22:40 UTC,2018-03-20 00:20:17 UTC
theodi/odi-bootstrap,"New style ODI Bootstrap",2013-06-26 14:30:40 UTC,2016-10-01 09:15:51 UTC
theodi/master-builder,"Jenkins Job DSL script that manages all our builds",2013-06-28 08:12:25 UTC,2014-10-15 20:28:36 UTC
theodi/noodile,"p2p-data CSV parser",2013-07-03 16:20:05 UTC,2014-11-25 15:33:44 UTC
theodi/csv-my-git,"Add csv diff capabilities to your local git configuration",2013-07-11 13:14:55 UTC,2018-06-21 14:21:54 UTC
theodi/open-addresses,"Early prototype of Open Addresses project. See github.com/OpenAddressesUK instead, now.",2013-07-12 14:31:12 UTC,2016-01-17 05:58:20 UTC
theodi/training-data,"Github Training Repository",2013-07-16 07:32:30 UTC,2013-11-29 14:58:50 UTC
theodi/signonotron2,"Single sign-on service for GovUK",2013-07-17 12:29:21 UTC,2015-04-07 09:36:27 UTC
theodi/publisher,"The publishing tool for GOV.UK",2013-07-17 12:29:32 UTC,2015-04-14 16:22:11 UTC
theodi/panopticon,"The know-all app",2013-07-17 12:29:35 UTC,2018-03-21 12:00:32 UTC
theodi/odi_content_models,"ODI-specific content models for Panopticon, Publisher, and Content API. Builds atop govuk_content_models.",2013-07-22 07:59:51 UTC,2016-07-26 14:05:13 UTC
theodi/content_api,"A fork-that's-not-a-fork of govuk_content_api for ODI use",2013-07-22 11:22:35 UTC,2016-01-27 11:05:43 UTC
theodi/govuk_content_models,"Shared content models for Panopticon and Publisher, as an Engine.",2013-07-22 14:59:59 UTC,2017-06-23 09:58:43 UTC
theodi/static,"Static template server app for the Quirkafleeg web platform",2013-07-24 08:46:23 UTC,2017-04-10 21:53:26 UTC
theodi/frontend-www,"The main frontend for the Quirkafleeg publishing platform",2013-07-26 14:41:38 UTC,2018-03-06 08:32:17 UTC
theodi/odi-chef,"Test-Driven Infrastructure FTW",2013-07-29 14:34:45 UTC,2014-12-22 16:52:52 UTC
theodi/buildmemes,"Build status meme images as a service. Because why not.",2013-07-31 08:06:58 UTC,2017-04-11 01:13:45 UTC
theodi/chef-dictionary,"Install something at `/usr/share/dict/words` ",2013-08-01 10:26:44 UTC,2013-12-26 09:31:14 UTC
theodi/odidown,"Markdown extensions layered on top of govspeak",2013-08-01 10:48:33 UTC,2016-06-01 15:43:10 UTC
